depth,age,upstream distance,,,,,surface elevation,,,,,thinning function,,,,,past accumulation rate,,,,
[m],[yr],[km],,,,,[m.a.s.l.],,,,,,,,,,[m/yr],,,,
,,flow line A,flow line B,flow line C,average,spread,flow line A,flow line B,flow line C,average,spread,flow line A,flow line B,flow line C,average,spread,flow line A,flow line B,flow line C,average,spread
15,49.2381087927015,11.6350239331996,10.6531935837822,9.77915670049249,10.6891247391581,0.945899194041496,2699.12753700945,2697.00746876939,2696.35153577608,2697.49551385164,1.63202315780852,0.0643659841248131,0.0392341364882189,0.121428716353854,0.0750096123222953,0.0464191040315586,0.122911307251297,0.119696176110643,0.130894330534843,0.124500604632261,0.00639372590258208
16,53.0819795689813,12.0286839894783,10.935741174554,10.1026005811712,11.0223419150678,1.00634207441047,2699.62888144445,2697.13761349749,2696.41306661319,2697.72652051838,1.90236092607341,0.0621429511924868,0.038393609243184,0.12107422085975,0.0738702604318068,0.047203960427943,0.122619966599625,0.119591551288975,0.130841537168805,0.124351018352468,0.0064905188163367
17,56.6708136212469,12.422344045757,11.2182887653258,10.4260444618499,11.3555590909776,1.06678495477943,2700.13022587945,2697.2677582256,2696.47459745029,2697.95752718511,2.17269869433879,0.0599199182601604,0.037553081998149,0.120719725365646,0.0727309085413184,0.0479888168243273,0.122330003830275,0.11948710920988,0.130788786371697,0.124201966470618,0.00658681990107973
18,60.6081783690103,12.8160041020357,11.5008363560976,10.7494883425286,11.6887762668873,1.1272278351484,2700.63157031446,2697.39790295371,2696.5361282874,2698.18853385185,2.443036462603,0.0576968853278341,0.0367125547531141,0.120365229871541,0.0715915566508299,0.0487736732207116,0.122041409191361,0.119382849394997,0.130736078092054,0.124053445559471,0.00668263253258329
19,64.8134286799798,13.2096641583144,11.7833839468694,11.0729322232073,12.021993442797,1.18767071551737,2701.13291474946,2697.52804768181,2696.5976591245,2698.41954051859,2.71337423086725,0.0554738523955077,0.0358720275080792,0.120010734377437,0.0704522047603414,0.0495585296170959,0.121754173022804,0.11927877136763,0.130683412278491,0.123905452222975,0.00677796005551619
20,68.2405553133456,13.727887743478,12.2496939771371,11.396376103886,12.4579859415004,1.26990180197761,2702.10301025954,2698.3899895609,2696.65918996161,2699.05072992735,3.05228033219143,0.0532508194631814,0.0350315002630443,0.119656238883333,0.0693128528698529,0.0503433860134802,0.121468285755255,0.119174874652746,0.130630788879709,0.123757983095903,0.0068728057838054
21,71.9372694133628,14.4380141693065,12.966157240805,11.7198199845647,13.0413304648921,1.39668370441447,2703.79526468465,2700.24811664525,2696.72072079872,2700.25470070954,3.54056397511286,0.0571973501649737,0.0367502820822063,0.120030714698278,0.0713261156484859,0.0487045990497918,0.121976746692559,0.119387525229272,0.130686379537178,0.12401688381967,0.00666949571750827
22,77.4662685107572,15.1481405951351,13.6826205044728,12.0432638652434,13.6246749882838,1.58141112304041,2705.48751910977,2702.1062437296,2696.78225163582,2701.45867149173,4.67641985590758,0.0611438808667661,0.0384690639013683,0.120405190513222,0.0733393784271189,0.0470658120861035,0.122489482314042,0.119600936051634,0.130742017528616,0.124277478631431,0.00646453889718557
23,83.4750801242542,15.8582670209637,14.3990837681407,12.3667077459221,14.2080195116755,1.84131176575342,2707.17977353488,2703.96437081396,2696.84378247293,2702.66264227392,5.81885980099255,0.0650904115685585,0.0401878457205302,0.120779666328167,0.0753526412057519,0.0454270251224151,0.123006546753834,0.119815111204057,0.130797702914505,0.124539786957465,0.0062579159570394
24,89.0521451505422,16.5683934467922,15.1155470318085,12.6901516266007,14.7913640350672,2.10121240846642,2708.87202795999,2705.82249789831,2696.90531331004,2703.86661305611,6.96129974607708,0.0690369422703509,0.0419066275396922,0.121154142143112,0.0773659039843849,0.0437882381587267,0.123527995064006,0.120030054800076,0.130853435755428,0.124803828539836,0.00604960721559119
